IMI;TAXAS_MULTAS_OUTROS_IMPOSTOS;FINANCIAMENTO_UNIAO_EUROPEIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;DSC_AUTARQUIA;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
231913.43;2346016.04;2247438.77;5012605.52;457925.39;4346673;T1_1308;1976750.66;T1;1308;MATOSINHOS;1138598.73;0;17659996.12;4914680.1
32671.84;155944.21;21559.8;359712.14;73852.41;1435200;T1_0111;97243.68;T1;0111;MEALHADA;791140.15;0;3345320.34;737708.25
3564.03;35598.18;0;81144.95;13348.9;1358592;T1_0909;28633.84;T1;0909;MEDA;98119.16;0;1823235.07;285378.96
16203.46;45535.57;2953.71;104991.78;25449.57;1544798;T1_1603;17803.18;T1;1603;MELGAÇO;673097.98;0;3105819.88;779978.41
6857.78;13949.58;932352.44;81972.62;19066.99;2760903;T1_0209;42098.27;T1;0209;MÉRTOLA;213663.41;0;4287754.44;298862.97
5372.96;14342.37;262781.89;172036.56;10463.25;821301;T1_1704;141857.98;T1;1704;MESÃO FRIO;133066.74;0;1637720.4;248534.21
27015.49;147551.27;12583.49;327995.73;46858.83;1136991;T1_0608;106570.14;T1;0608;MIRA;377118.73;0;2037840.55;183151.6
33752.65;48675.75;235440.28;163741.22;34613.53;1123614;T1_0609;15441.48;T1;0609;MIRANDA DO CORVO;384521;31257.81;2177388.64;270072.14
4181.48;30015.6;106879.9;94020.44;19684.44;1773888;T1_0406;40138.92;T1;0406;MIRANDA DO DOURO;212880.51;0;2253832.83;66163.98
28458.89;154200.63;3920.09;354948.14;65025.79;2762151;T1_0407;107262.83;T1;0407;MIRANDELA;654558.92;0;4218661.18;443083.03
3604.61;38506.85;18664.61;101609.42;21336.09;2353137;T1_0408;38161.87;T1;0408;MOGADOURO;213946.05;0;2900027.39;212670.31
